date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
03-02-2025,2025,Cognizant Classic,pga_rd4_sd,9411,352.45,209.5,232.25,94,15.9,1.41,92.6,3,15.08,1,4,03-02-2025 Cognizant Classic R4 SD.csv
03-03-2024,2024,Cognizant,pga_rd4_sd,11764,372.9,246.25,271.4,100,15.22,1.62,92.0,2,14.16,2,3,03-03-2024 Cognizant R4 SD.csv
03-05-2023,2023,Arnold Palmer Invitational,pga_rd4_sd,14117,304.35,199.85,221.7,100,17.19,1.82,90.0,2,20.46,1,4,03-05-2023 Arnold Palmer Invitational R4 SD.csv
03-08-2026,2026,Arnold Palmer Invitational,pga_rd4_sd,10720,345.45,218.14,243.8,100,25.39,0.41,44.0,8,23.11,1,2,03-08-2026 Arnold Palmer Invitational R4 SD.csv
03-09-2025,2025,Arnold Palmer Invitational,pga_rd4_sd,14117,338.2,209.96,234.4,100,16.51,2.78,91.0,3,14.76,4,2,03-09-2025 Arnold Palmer Invitational R4 SD.csv
03-10-2024,2024,API,pga_rd4_sd,14117,297.3,171.5,197.45,100,18.25,2.13,82.0,4,17.66,2,3,03-10-2024 API R4 SD.csv
03-12-2023,2023,PLAYERS Championship,pga_rd4_sd,17424,343.9,218.0,236.8,100,16.62,1.78,93.0,3,10.56,2,3,03-12-2023 The PLAYERS Championship R4 SD.csv
03-15-2026,2026,THE PLAYERS Championship,pga_rd4_sd,11764,295.3,186.25,210.62,100,16.22,1.67,91.0,3,17.84,1,5,03-15-2026 THE PLAYERS Championship R4 SD.csv
03-17-2024,2024,Players,pga_rd4_sd,14117,372.4,230.8,259.8,100,17.36,1.63,82.0,4,21.64,1,3,03-17-2024 Players R4 SD.csv
03-17-2025,2025,THE PLAYERS Championship,pga_rd4_sd,14117,316.9,190.3,214.5,100,16.57,2.45,90.0,4,16.17,2,2,03-17-2025 THE PLAYERS Championship R4 SD.csv
03-19-2023,2023,Valspar,pga_rd4_sd,8823,272.65,178.0,198.9,88,20.78,1.28,69.3,9,13.53,2,2,03-19-2023 Valspar R4 SD.csv
03-22-2026,2026,Valspar Championship,pga_rd4_sd,7058,324.7,210.0,229.2,71,19.77,2.2,100.0,1,17.36,3,3,03-22-2026 Valspar Championship R4 SD.csv
03-23-2025,2025,Valspar Championship,pga_rd4_sd,8823,350.95,219.22,243.3,88,21.35,1.26,83.0,3,22.22,1,5,03-23-2025 Valspar Championship R4 SD.csv
03-24-2024,2024,Valspar,pga_rd4_sd,7058,316.8,179.25,208.15,71,16.51,2.18,91.5,2,16.45,1,3,03-24-2024 Valspar R4 SD.csv
03-29-2026,2026,Houston Open,pga_rd4_sd,7058,358.15,234.55,256.5,71,21.72,1.86,69.0,4,16.36,3,3,03-29-2026 Houston Open R4 SD.csv
03-30-2025,2025,Houston Open,pga_rd4_sd,8823,380.45,233.0,260.4,88,15.74,2.27,95.5,2,14.22,2,4,03-30-2025 Houston Open R4 SD.csv
03-31-2024,2024,Houston Open,pga_rd4_sd,9411,323.35,239.0,258.4,94,15.82,1.94,74.5,10,15.17,2,3,03-31-2024 Houston Open R4 SD.csv
04-02-2023,2023,Valero,pga_rd4_sd,5882,368.05,231.95,258.15,59,22.7,1.2,71.2,11,21.04,2,1,04-02-2023 Valero R4 SD.csv
04-05-2026,2026,Valero Texas Open,pga_rd4_sd,5882,331.85,211.85,238.48,59,24.44,0.66,44.1,7,19.31,2,2,04-05-2026 Valero Texas Open R4 SD.csv
04-06-2025,2025,Valero Texas Open,pga_rd4_sd,9411,245.55,145.0,163.2,94,16.89,2.72,97.9,2,16.25,4,3,04-06-2025 Valero Texas Open R4 SD.csv
04-07-2024,2024,Valero Texas Open,pga_rd4_sd,9411,367.05,241.1,270.7,94,25.48,0.69,45.7,17,23.83,0,2,04-07-2024 Valero Texas Open R4 SD.csv
04-08-2023,2023,Masters,pga_rd4_sd,28235,332.5,183.35,208.95,100,20.05,1.45,69.0,7,22.22,1,3,04-08-2023 Masters R4 SD.csv
04-12-2026,2026,Masters,pga_rd4_sd,34515,339.7,188.45,215.9,100,15.48,2.81,89.0,5,12.98,4,2,04-12-2026 The Masters R4 SD.csv
04-13-2025,2025,Masters,pga_rd4_sd,37647,326.75,180.55,210.6,100,20.22,0.86,53.0,13,17.36,2,3,04-13-2025 The Masters R4 SD.csv
04-14-2024,2024,Masters,pga_rd4_sd,36960,311.65,195.4,216.85,100,17.15,2.71,89.0,3,14.36,3,4,04-14-2024 The Masters R4 SD.csv
04-19-2026,2026,RBC Heritage,pga_rd4_sd,9411,328.45,195.15,218.55,94,11.78,3.41,95.7,2,10.36,4,1,04-19-2026 RBC Heritage R4 SD.csv
04-20-2025,2025,RBC Heritage,pga_rd4_sd,11764,333.95,222.25,242.7,100,19.5,2.09,79.0,11,21.59,2,2,04-20-2025 RBC Heritage R4 SD.csv
04-22-2024,2024,RBC Heritage,pga_rd4_sd,14117,337.75,208.85,230.8,100,13.09,3.02,96.0,2,9.0,3,4,04-22-2024 RBC Heritage R4 SD.csv
04-23-2023,2023,Zurich,pga_rd4_sd,4705,369.75,238.3,266.45,47,15.53,1.89,91.5,2,16.1,2,2,04-23-2023 Zurich R4 SD.csv
04-26-2026,2026,Zurich Classic of New Orleans,pga_rd4_sd,3294,366.8,279.18,296.7,33,17.44,2.7,100.0,1,16.59,4,4,04-26-2026 Zurich Classic of New Orleans R4 SD.csv
04-27-2025,2025,Zurich Classic of New Orleans,pga_rd4_sd,4705,337.45,227.55,250.6,47,12.4,3.34,100.0,1,5.63,6,3,04-27-2025 Zurich Classic of New Orleans R4 SD.csv
04-28-2024,2024,Zurich Classic of New Orleans,pga_rd4_sd,5882,370.15,226.56,246.38,59,15.35,2.75,98.3,2,12.43,4,4,04-28-2024 Zurich Classic of New Orleans R4 SD.csv
04-30-2023,2023,Mexico Open,pga_rd4_sd,8823,375.95,259.8,282.85,88,18.61,2.4,85.2,3,20.34,2,4,04-30-2023 Mexico Open R4 SD.csv
05-03-2026,2026,Cadillac Championship,pga_rd4_sd,5882,386.1,266.52,285.85,59,15.95,2.17,93.2,2,9.3,5,3,05-03-2026 Cadillac Championship R4 SD.csv
05-04-2025,2025,CJ Cup Byron Nelson,pga_rd4_sd,7058,408.7,278.6,312.08,71,20.16,1.39,76.1,3,20.55,1,2,05-04-2025 The CJ Cup Byron Nelson R4 SD.csv
05-05-2024,2024,CJ Cup Byron Nelson,pga_rd4_sd,7058,393.25,283.62,306.2,71,16.31,1.65,91.5,2,14.45,2,3,05-05-2024 The CJ Cup Byron Nelson R4 SD.csv
