date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
09-15-2024,2024,Procore Championship,pga_classic,14117,588.0,314.0,369.0,100,14.29,1.74,96.0,2,16.01,1,3,09-15-2024 Procore Championship Classic.csv
09-21-2023,2023,Open De France,pga_classic,3529,552.0,271.0,327.0,35,11.73,2.6,100.0,1,10.13,3,5,09-21-2023 Open De France Classic.csv
09-28-2023,2023,Ryder Cup,pga_classic,19024,763.77,471.32,547.62,100,35.18,0.1,5.0,23,35.09,0,0,09-28-2023 Ryder Cup Classic.csv
09-28-2025,2025,Ryder Cup,pga_classic,16983,695.62,390.66,462.12,100,26.14,0.14,28.0,12,25.87,0,2,09-28-2025 Ryder Cup Classic.csv
09-29-2024,2024,Presidents Cup,pga_classic,13428,705.02,512.85,563.79,100,39.86,0.0,0.0,47,40.58,0,0,09-29-2024 Presidents Cup Classic.csv
10-05-2023,2023,Sanderson Farms,pga_classic,14117,633.0,356.6,418.0,100,14.46,2.06,98.0,2,16.32,1,4,10-05-2023 Sanderson Farms Classic.csv
10-05-2025,2025,Sanderson Farms Championship,pga_classic,10883,717.0,303.0,369.0,100,12.53,1.99,92.0,2,13.08,2,3,10-05-2025 Sanderson Farms Championship Classic.csv
10-06-2024,2024,Sanderson Farms Championship,pga_classic,14117,688.5,405.5,473.0,100,11.06,1.75,99.0,3,12.02,1,4,10-06-2024 Sanderson Farms Championship Classic.csv
10-11-2025,2025,Baycurrent Classic,pga_classic,8868,655.0,448.5,488.0,89,14.66,2.49,93.3,3,14.07,2,5,10-11-2025 Baycurrent Classic Classic.csv
10-12-2023,2023,Shriners,pga_classic,14117,697.5,380.0,452.0,100,12.41,2.97,100.0,1,7.9,4,2,10-12-2023 Shriners Classic.csv
10-13-2024,2024,Black Desert Championship,pga_classic,13374,701.0,408.5,473.0,100,12.95,1.58,90.0,8,13.5,1,5,10-13-2024 Black Desert Championship Classic.csv
10-19-2023,2023,ZOZO,pga_classic,14117,529.5,334.0,366.0,100,13.1,2.23,95.0,3,11.64,2,2,10-19-2023 ZOZO Classic.csv
10-20-2024,2024,Shriners Hospitals for Children Open,pga_classic,14117,719.5,346.0,419.0,100,15.84,1.87,92.0,2,12.16,4,3,10-20-2024 Shriners Hospitals for Children Open Classic.csv
10-26-2025,2025,Bank of Utah Championship,pga_classic,8235,705.0,342.0,411.5,82,13.12,2.11,100.0,1,13.33,2,4,10-26-2025 Bank of Utah Championship Classic.csv
10-27-2024,2024,ZOZO CHAMPIONSHIP,pga_classic,12624,632.0,420.5,457.5,100,11.27,2.27,95.0,3,13.89,3,5,10-27-2024 ZOZO CHAMPIONSHIP Classic.csv
11-02-2023,2023,WWT,pga_classic,14117,771.5,440.5,506.0,100,11.82,2.57,88.0,5,11.09,2,6,11-02-2023 WWT Classic.csv
11-09-2023,2023,Bermuda,pga_classic,14117,712.5,466.0,518.0,100,11.57,2.56,94.0,2,9.24,4,4,11-09-2023 Bermuda Classic.csv
11-09-2025,2025,World Wide Technology Championship,pga_classic,7018,787.5,463.5,537.5,70,13.66,3.1,92.9,3,15.46,2,3,11-09-2025 World Wide Technology Championship Classic.csv
11-10-2024,2024,World Wide Technology Championship,pga_classic,9411,745.5,445.5,505.5,94,14.25,1.68,97.9,2,15.24,1,5,11-10-2024 World Wide Technology Championship Classic.csv
11-16-2023,2023,RSM,pga_classic,14117,778.0,449.0,511.5,100,13.77,2.59,95.0,3,14.59,2,4,11-16-2023 RSM Classic.csv
11-16-2025,2025,Bermuda Championship,pga_classic,7058,512.5,275.0,320.5,71,12.78,2.45,91.5,2,13.09,1,5,11-16-2025 Bermuda Championship Classic.csv
11-17-2024,2024,Bermuda Championship,pga_classic,7058,616.0,378.5,431.5,71,14.21,0.89,94.4,2,15.41,1,4,11-17-2024 Bermuda Championship Classic.csv
11-23-2025,2025,RSM Classic,pga_classic,7058,725.5,439.0,503.0,71,14.54,1.44,91.5,2,14.73,2,4,11-23-2025 The RSM Classic Classic.csv
11-24-2024,2024,RSM Classic,pga_classic,9411,628.0,321.5,382.5,94,12.1,2.84,97.9,2,11.87,3,4,11-24-2024 The RSM Classic Classic.csv
11-30-2023,2023,Hero,pga_classic,11764,704.5,544.0,577.0,100,32.5,0.0,29.0,15,31.17,0,0,11-30-2023 Hero Classic.csv
